Descrição,Endereco,M2,Preco,R$/M2
"Apartamento para comprar com 43 m², 3 quartos, 2 banheiros, 1 vaga em Vila Regente Feijó, São Paulo",Rua Emília Marengo,43.0,159600.0,3711.6279069767443
"Apartamento para comprar com 69 m², 3 quartos, 2 banheiros, 1 vaga em Itaquera, São Paulo",Rua Subragi,69.0,200000.0,2898.550724637681
"Apartamento para comprar com 49 m², 3 quartos, 2 banheiros, 1 vaga em Jardim do Divino, São Paulo",Rua Moreira Neto,49.0,103704.0,2116.408163265306
"Apartamento para comprar com 55 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Capelinha, São Paulo",Rua Guilherme Jerônimo Klosternecht,55.0,185000.0,3363.6363636363635
"Apartamento para comprar com 40 m², 3 quartos, 2 banheiros, 1 vaga em Barra Funda, São Paulo",Rua Dona Elisa,40.0,130000.0,3250.0
"Apartamento para comprar com 65 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Aurora (Zona Leste), São Paulo",Rua Raimundo Gonçalves Ferreira,65.0,200000.0,3076.923076923077
"Apartamento para comprar com 40 m², 3 quartos, 2 banheiros, 2 vagas em Brooklin Paulista, São Paulo",Rua Indiana,40.0,199000.0,4975.0
"Apartamento para comprar com 65 m², 3 quartos, 2 banheiros, 1 vaga em Itaquera, São Paulo",,65.0,190000.0,2923.076923076923
"Apartamento para comprar com 105 m², 3 quartos, 4 banheiros, 2 vagas em Jardim das Acácias, São Paulo",,105.0,150000.0,1428.5714285714287
"Apartamento para comprar com 64 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Capelinha, São Paulo",Rua Guilherme Jerônimo Klosternecht,64.0,200000.0,3125.0
"Apartamento para comprar com 43 m², 3 quartos, 2 banheiros, 1 vaga em Vila Regente Feijó, São Paulo",Rua Emília Marengo,43.0,159600.0,3711.6279069767443
"Apartamento para comprar com 69 m², 3 quartos, 2 banheiros, 1 vaga em Itaquera, São Paulo",Rua Subragi,69.0,200000.0,2898.550724637681
"Apartamento para comprar com 49 m², 3 quartos, 2 banheiros, 1 vaga em Jardim do Divino, São Paulo",Rua Moreira Neto,49.0,103704.0,2116.408163265306
"Apartamento para comprar com 55 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Capelinha, São Paulo",Rua Guilherme Jerônimo Klosternecht,55.0,185000.0,3363.6363636363635
"Apartamento para comprar com 40 m², 3 quartos, 2 banheiros, 1 vaga em Barra Funda, São Paulo",Rua Dona Elisa,40.0,130000.0,3250.0
"Apartamento para comprar com 65 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Aurora (Zona Leste), São Paulo",Rua Raimundo Gonçalves Ferreira,65.0,200000.0,3076.923076923077
"Apartamento para comprar com 40 m², 3 quartos, 2 banheiros, 2 vagas em Brooklin Paulista, São Paulo",Rua Indiana,40.0,199000.0,4975.0
"Apartamento para comprar com 65 m², 3 quartos, 2 banheiros, 1 vaga em Itaquera, São Paulo",,65.0,190000.0,2923.076923076923
"Apartamento para comprar com 105 m², 3 quartos, 4 banheiros, 2 vagas em Jardim das Acácias, São Paulo",,105.0,150000.0,1428.5714285714287
"Apartamento para comprar com 64 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Capelinha, São Paulo",Rua Guilherme Jerônimo Klosternecht,64.0,200000.0,3125.0
"Apartamento para comprar com 43 m², 3 quartos, 2 banheiros, 1 vaga em Vila Regente Feijó, São Paulo",Rua Emília Marengo,43.0,159600.0,3711.6279069767443
"Apartamento para comprar com 69 m², 3 quartos, 2 banheiros, 1 vaga em Itaquera, São Paulo",Rua Subragi,69.0,200000.0,2898.550724637681
"Apartamento para comprar com 49 m², 3 quartos, 2 banheiros, 1 vaga em Jardim do Divino, São Paulo",Rua Moreira Neto,49.0,103704.0,2116.408163265306
"Apartamento para comprar com 55 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Capelinha, São Paulo",Rua Guilherme Jerônimo Klosternecht,55.0,185000.0,3363.6363636363635
"Apartamento para comprar com 40 m², 3 quartos, 2 banheiros, 1 vaga em Barra Funda, São Paulo",Rua Dona Elisa,40.0,130000.0,3250.0
"Apartamento para comprar com 65 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Aurora (Zona Leste), São Paulo",Rua Raimundo Gonçalves Ferreira,65.0,200000.0,3076.923076923077
"Apartamento para comprar com 40 m², 3 quartos, 2 banheiros, 2 vagas em Brooklin Paulista, São Paulo",Rua Indiana,40.0,199000.0,4975.0
"Apartamento para comprar com 65 m², 3 quartos, 2 banheiros, 1 vaga em Itaquera, São Paulo",,65.0,190000.0,2923.076923076923
"Apartamento para comprar com 105 m², 3 quartos, 4 banheiros, 2 vagas em Jardim das Acácias, São Paulo",,105.0,150000.0,1428.5714285714287
"Apartamento para comprar com 64 m², 3 quartos, 2 banheiros, 1 vaga em Jardim Capelinha, São Paulo",Rua Guilherme Jerônimo Klosternecht,64.0,200000.0,3125.0
